;TN;TP;FN;FP;0;1;accuracy;precision_micro;precision_macro;precision_weighted;precision_binary;recall_micro;recall_macro;recall_weighted;recall_binary;f1Score_micro;f1Score_macro;f1Score_weighted;f1Score_binary;phi;meanSquared_error;meanAbsolute_error;medianAbsolute_error
3;1;2;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
16;6;7;2;1;0,75;0,88;0,8125;0,8125;0,8125;0,8203125;0,875;0,8125;0,817460317;0,8125;0,777777778;0,8125;0,811764706;0,813235294;0,823529412;0,629940788;0,1875;0,1875;0
16;6;7;2;1;0.75;0.88;0.8125;0.8125;0.8125;0.8203125;0.875;0.8125;0.8174603174603174;0.8125;0.7777777777777778;0.8125;0.8117647058823529;0.8132352941176471;0.8235294117647058;0.629940788348712;0.1875;0.1875;0.0
15;9;1;0;5;1;0,17;0,666666667;0,666666667;0,583333333;0,944444444;0,166666667;0,666666667;0,821428571;0,666666667;1;0,666666667;0,534161491;0,749482402;0,285714286;0,327326835;0,333333333;0,333333333;0
16;8;5;0;3;1;0,62;0,8125;0,8125;0,8125;0,8828125;0,625;0,8125;0,863636364;0,8125;1;0,8125;0,805668016;0,819331984;0,769230769;0,674199862;0,1875;0,1875;0
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;TN;TP;FN;FP;0;1;accuracy;precision_micro;precision_macro;precision_weighted;precision_binary;recall_micro;recall_macro;recall_weighted;recall_binary;f1Score_micro;f1Score_macro;f1Score_weighted;f1Score_binary;phi;meanSquared_error;meanAbsolute_error;medianAbsolute_error
16;5;7;0;4;1;0,64;0,75;0,75;0,818181818;0,840909091;0,636363636;0,75;0,777777778;0,75;1;0,75;0,746031746;0,742063492;0,777777778;0,59458839;0,25;0,25;0
16;5;6;0;5;1;0,55;0,6875;0,6875;0,772727273;0,829545455;0,545454545;0,6875;0,75;0,6875;1;0,6875;0,68627451;0,681372549;0,705882353;0,522232968;0,3125;0,3125;0
16;5;5;0;6;1;0,45;0,625;0,625;0,727272727;0,829545455;0,454545455;0,625;0,727272727;0,625;1;0,625;0,625;0,625;0,625;0,454545455;0,375;0,375;0
16;8;5;0;3;1;0,62;0,8125;0,8125;0,8125;0,8828125;0,625;0,8125;0,863636364;0,8125;1;0,8125;0,805668016;0,819331984;0,769230769;0,674199862;0,1875;0,1875;0
16;9;5;0;2;1;0,71;0,875;0,875;0,857142857;0,910714286;0,714285714;0,875;0,909090909;0,875;1;0,875;0,866666667;0,879166667;0,833333333;0,764470787;0,125;0,125;0
16;10;4;0;2;1;0,67;0,875;0,875;0,833333333;0,916666667;0,666666667;0,875;0,916666667;0,875;1;0,875;0,854545455;0,881818182;0,8;0,745355992;0,125;0,125;0
16;7;6;0;3;1;0,67;0,8125;0,8125;0,833333333;0,875;0,666666667;0,8125;0,85;0,8125;1;0,8125;0,811764706;0,814705882;0,8;0,683130051;0,1875;0,1875;0
16;10;4;0;2;1;0,67;0,875;0,875;0,833333333;0,916666667;0,666666667;0,875;0,916666667;0,875;1;0,875;0,854545455;0,881818182;0,8;0,745355992;0,125;0,125;0
16;3;7;0;6;1;0,54;0,625;0,625;0,769230769;0,798076923;0,538461538;0,625;0,666666667;0,625;1;0,625;0,6;0,5875;0,7;0,423659273;0,375;0,375;0
16;7;5;0;4;1;0,56;0,75;0,75;0,777777778;0,861111111;0,555555556;0,75;0,818181818;0,75;1;0,75;0,746031746;0,757936508;0,714285714;0,59458839;0,25;0,25;0
16;7;6;0;3;1;0,67;0,8125;0,8125;0,833333333;0,875;0,666666667;0,8125;0,85;0,8125;1;0,8125;0,811764706;0,814705882;0,8;0,683130051;0,1875;0,1875;0
16;7;6;0;3;1;0,67;0,8125;0,8125;0,833333333;0,875;0,666666667;0,8125;0,85;0,8125;1;0,8125;0,811764706;0,814705882;0,8;0,683130051;0,1875;0,1875;0
16;9;3;0;4;1;0,43;0,75;0,75;0,714285714;0,892857143;0,428571429;0,75;0,846153846;0,75;1;0,75;0,709090909;0,777272727;0,6;0,544704779;0,25;0,25;0
16;11;3;0;2;1;0,6;0,875;0,875;0,8;0,925;0,6;0,875;0,923076923;0,875;1;0,875;0,833333333;0,885416667;0,75;0,712525303;0,125;0,125;0
16;8;3;0;5;1;0,38;0,6875;0,6875;0,6875;0,8828125;0,375;0,6875;0,807692308;0,6875;1;0,6875;0,653679654;0,721320346;0,545454545;0,480384461;0,3125;0,3125;0
16;5;4;0;7;1;0,36;0,5625;0,5625;0,681818182;0,840909091;0,363636364;0,5625;0,708333333;0,5625;1;0,5625;0,560784314;0,574509804;0,533333333;0,389249472;0,4375;0,4375;0
16;9;4;0;3;1;0,57;0,8125;0,8125;0,785714286;0,892857143;0,571428571;0,8125;0,875;0,8125;1;0,8125;0,792207792;0,824675325;0,727272727;0,654653671;0,1875;0,1875;0
15;11;2;0;2;1;0,5;0,866666667;0,866666667;0,75;0,933333333;0,5;0,866666667;0,923076923;0,866666667;1;0,866666667;0,791666667;0,883333333;0,666666667;0,650443636;0,133333333;0,133333333;0
303;136;85;0;66;1;0,57;0,77037037;0,77037037;0,784489893;0,876600965;0,568979786;0,77037037;0,832182941;0,77037037;1;0,77037037;0,75337891;0,77592519;0,719346512;0,611130477;0,22962963;0,22962963;0
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;287;;;;;;;;;;;;;;;;;;;;;;
